ts,time,wall_time,mp_count.X,real_count.X,px.X,py.X,pz.X,KE.X,mp_count.X+,real_count.X+,px.X+,py.X+,pz.X+,KE.X+,PE,E_total
231,4.64e-05,4.85212,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
232,4.66e-05,4.85578,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
233,4.68e-05,4.85933,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
234,4.7e-05,4.86308,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
235,4.72e-05,4.86663,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
236,4.74e-05,4.87065,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
237,4.76e-05,4.87484,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
238,4.78e-05,4.87938,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
239,4.8e-05,4.88383,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
240,4.82e-05,4.88901,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
241,4.84e-05,4.89374,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
242,4.86e-05,4.89882,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
243,4.88e-05,4.90349,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
244,4.9e-05,4.90819,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
245,4.92e-05,4.91297,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
246,4.94e-05,4.91772,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
247,4.96e-05,4.92226,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
248,4.98e-05,4.92722,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
249,5e-05,4.93184,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
