x,y
-2.40934e-05,1.86322e-05
-2.42034e-05,1.86116e-05
-2.43133e-05,1.85905e-05
-2.44231e-05,1.85687e-05
-2.45329e-05,1.85465e-05
-2.46426e-05,1.85237e-05
-2.47523e-05,1.85003e-05
-2.48618e-05,1.84764e-05
-2.49714e-05,1.84519e-05
-2.50808e-05,1.84269e-05
-2.51902e-05,1.84013e-05
-2.52995e-05,1.83752e-05
-2.54087e-05,1.83486e-05
-2.55178e-05,1.83214e-05
-2.56269e-05,1.82936e-05
-2.57358e-05,1.82653e-05
-2.58447e-05,1.82365e-05
-2.59534e-05,1.82071e-05
-2.60621e-05,1.81772e-05
-2.61707e-05,1.81467e-05
-2.62792e-05,1.81157e-05
-2.63875e-05,1.80841e-05
-2.64958e-05,1.8052e-05
-2.66039e-05,1.80194e-05
-2.6712e-05,1.79862e-05
-2.68199e-05,1.79525e-05
-2.69277e-05,1.79182e-05
-2.70353e-05,1.78834e-05
-2.71429e-05,1.7848e-05
-2.72503e-05,1.78122e-05
-2.73576e-05,1.77757e-05
-2.74648e-05,1.77388e-05
-2.75718e-05,1.77013e-05
-2.76787e-05,1.76632e-05
-2.77854e-05,1.76247e-05
-2.7892e-05,1.75856e-05
-2.79985e-05,1.75459e-05
-2.81048e-05,1.75058e-05
-2.8211e-05,1.74651e-05
-2.8317e-05,1.74238e-05
-2.84228e-05,1.73821e-05
-2.85285e-05,1.73398e-05
-2.86341e-05,1.7297e-05
-2.87394e-05,1.72536e-05
-2.88446e-05,1.72097e-05
-2.89497e-05,1.71653e-05
-2.90545e-05,1.71204e-05
-2.91592e-05,1.7075e-05
-2.92637e-05,1.7029e-05
-2.9368e-05,1.69825e-05
-2.94722e-05,1.69355e-05
-2.95761e-05,1.68879e-05
-2.96799e-05,1.68398e-05
-2.97835e-05,1.67913e-05
-2.98869e-05,1.67422e-05
-2.99901e-05,1.66925e-05
-3.0093e-05,1.66424e-05
-3.01958e-05,1.65917e-05
-3.02984e-05,1.65406e-05
-3.04008e-05,1.64889e-05
-3.0503e-05,1.64367e-05
-3.06049e-05,1.6384e-05
-3.07067e-05,1.63308e-05
-3.08082e-05,1.62771e-05
-3.09095e-05,1.62228e-05
-3.10106e-05,1.61681e-05
-3.11115e-05,1.61128e-05
-3.12121e-05,1.60571e-05
-3.13125e-05,1.60008e-05
-3.14127e-05,1.59441e-05
-3.15127e-05,1.58868e-05
-3.16124e-05,1.58291e-05
-3.17118e-05,1.57708e-05
-3.18111e-05,1.5712e-05
-3.191e-05,1.56528e-05
-3.20088e-05,1.5593e-05
-3.21073e-05,1.55328e-05
-3.22055e-05,1.5472e-05
-3.23035e-05,1.54108e-05
-3.24012e-05,1.53491e-05
-3.24987e-05,1.52869e-05
-3.25959e-05,1.52242e-05
-3.26928e-05,1.5161e-05
-3.27895e-05,1.50973e-05
-3.28859e-05,1.50332e-05
-3.2982e-05,1.49686e-05
-3.30779e-05,1.49034e-05
-3.31735e-05,1.48378e-05
-3.32688e-05,1.47718e-05
-3.33638e-05,1.47052e-05
-3.34586e-05,1.46382e-05
-3.3553e-05,1.45707e-05
-3.36472e-05,1.45027e-05
-3.37411e-05,1.44343e-05
-3.38347e-05,1.43653e-05
-3.3928e-05,1.4296e-05
-3.4021e-05,1.42261e-05
-3.41137e-05,1.41558e-05
-3.42061e-05,1.4085e-05
-3.42981e-05,1.40138e-05
-3.43899e-05,1.39421e-05
-3.44814e-05,1.38699e-05
-3.45726e-05,1.37973e-05
-3.46634e-05,1.37242e-05
-3.4754e-05,1.36507e-05
-3.48442e-05,1.35767e-05
-3.49341e-05,1.35022e-05
-3.50236e-05,1.34274e-05
-3.51129e-05,1.3352e-05
-3.52018e-05,1.32762e-05
-3.52904e-05,1.32e-05
-3.53787e-05,1.31233e-05
-3.54666e-05,1.30462e-05
-3.55542e-05,1.29687e-05
-3.56414e-05,1.28907e-05
-3.57283e-05,1.28122e-05
-3.58149e-05,1.27334e-05
-3.59011e-05,1.26541e-05
-3.5987e-05,1.25743e-05
-3.60725e-05,1.24942e-05
-3.61577e-05,1.24136e-05
-3.62425e-05,1.23326e-05
-3.6327e-05,1.22511e-05
-3.64111e-05,1.21693e-05
-3.64949e-05,1.2087e-05
-3.65783e-05,1.20043e-05
-3.66613e-05,1.19212e-05
-3.67439e-05,1.18376e-05
-3.68262e-05,1.17537e-05
-3.69082e-05,1.16693e-05
-3.69897e-05,1.15846e-05
-3.70709e-05,1.14994e-05
-3.71517e-05,1.14138e-05
-3.72321e-05,1.13278e-05
-3.73121e-05,1.12414e-05
-3.73918e-05,1.11546e-05
-3.74711e-05,1.10674e-05
-3.75499e-05,1.09798e-05
-3.76284e-05,1.08918e-05
-3.77065e-05,1.08035e-05
-3.77843e-05,1.07147e-05
-3.78616e-05,1.06255e-05
-3.79385e-05,1.0536e-05
-3.8015e-05,1.04461e-05
-3.80912e-05,1.03558e-05
-3.81669e-05,1.02651e-05
-3.82422e-05,1.0174e-05
-3.83171e-05,1.00825e-05
-3.83916e-05,9.99071e-06
-3.84657e-05,9.89852e-06
-3.85394e-05,9.80595e-06
-3.86127e-05,9.71301e-06
-3.86855e-05,9.6197e-06
-3.8758e-05,9.52603e-06
-3.883e-05,9.432e-06
-3.89016e-05,9.33761e-06
-3.89728e-05,9.24286e-06
-3.90435e-05,9.14775e-06
-3.91138e-05,9.05229e-06
-3.91837e-05,8.95648e-06
-3.92532e-05,8.86031e-06
-3.93222e-05,8.7638e-06
-3.93909e-05,8.66694e-06
-3.9459e-05,8.56974e-06
-3.95268e-05,8.4722e-06
-3.95941e-05,8.37432e-06
-3.96609e-05,8.2761e-06
-3.97273e-05,8.17755e-06
-3.97933e-05,8.07867e-06
-3.98588e-05,7.97945e-06
-3.99239e-05,7.87991e-06
-3.99885e-05,7.78004e-06
-4.00527e-05,7.67985e-06
-4.01164e-05,7.57933e-06
-4.01797e-05,7.4785e-06
-4.02425e-05,7.37735e-06
-4.03049e-05,7.27589e-06
-4.03668e-05,7.17411e-06
-4.04282e-05,7.07202e-06
-4.04892e-05,6.96963e-06
-4.05498e-05,6.86693e-06
-4.06098e-05,6.76393e-06
-4.06694e-05,6.66063e-06
-4.07285e-05,6.55702e-06
-4.07872e-05,6.45313e-06
-4.08454e-05,6.34894e-06
-4.09031e-05,6.24445e-06
-4.09603e-05,6.13968e-06
-4.10171e-05,6.03462e-06
-4.10734e-05,5.92928e-06
-4.11292e-05,5.82366e-06
-4.11846e-05,5.71776e-06
-4.12394e-05,5.61158e-06
-4.12938e-05,5.50512e-06
-4.13477e-05,5.39839e-06
-4.14011e-05,5.2914e-06
-4.1454e-05,5.18413e-06
-4.15065e-05,5.0766e-06
-4.15584e-05,4.96881e-06
-4.16099e-05,4.86076e-06
-4.16608e-05,4.75245e-06
-4.17113e-05,4.64389e-06
-4.17613e-05,4.53507e-06
-4.18108e-05,4.426e-06
-4.18598e-05,4.31669e-06
-4.19083e-05,4.20713e-06
-4.19563e-05,4.09732e-06
-4.20037e-05,3.98728e-06
-4.20507e-05,3.877e-06
-4.20972e-05,3.76648e-06
-4.21432e-05,3.65573e-06
-4.21887e-05,3.54475e-06
-4.22337e-05,3.43355e-06
-4.22782e-05,3.32211e-06
-4.23221e-05,3.21046e-06
-4.23656e-05,3.09858e-06
-4.24085e-05,2.98649e-06
-4.2451e-05,2.87418e-06
-4.24929e-05,2.76166e-06
-4.25343e-05,2.64893e-06
-4.25752e-05,2.53599e-06
-4.26156e-05,2.42285e-06
-4.26554e-05,2.30951e-06
-4.26948e-05,2.19596e-06
-4.27336e-05,2.08222e-06
-4.27719e-05,1.96829e-06
-4.28097e-05,1.85416e-06
-4.2847e-05,1.73985e-06
-4.28837e-05,1.62534e-06
-4.292e-05,1.51066e-06
-4.29556e-05,1.39579e-06
-4.29908e-05,1.28074e-06
-4.30255e-05,1.16552e-06
-4.30596e-05,1.05012e-06
-4.30932e-05,9.34555e-07
-4.31262e-05,8.1882e-07
-4.31588e-05,7.02919e-07
-4.31908e-05,5.86855e-07
-4.32223e-05,4.70631e-07
-4.32532e-05,3.5425e-07
-4.32836e-05,2.37714e-07
-4.33135e-05,1.21025e-07
-4.33428e-05,4.18696e-09
-4.33716e-05,-1.12798e-07
-4.33999e-05,-2.29927e-07
-4.34276e-05,-3.47198e-07
-4.34548e-05,-4.64608e-07
-4.34815e-05,-5.82153e-07
-4.35076e-05,-6.99833e-07
-4.35332e-05,-8.17643e-07
-4.35582e-05,-9.35581e-07
-4.35827e-05,-1.05364e-06
-4.36067e-05,-1.17183e-06
-4.36301e-05,-1.29014e-06
-4.3653e-05,-1.40856e-06
-4.36753e-05,-1.5271e-06
-4.36971e-05,-1.64575e-06
-4.37184e-05,-1.76451e-06
-4.37391e-05,-1.88337e-06
-4.37592e-05,-2.00234e-06
-4.37789e-05,-2.12141e-06
-4.37979e-05,-2.24058e-06
-4.38164e-05,-2.35984e-06
-4.38344e-05,-2.4792e-06
-4.38518e-05,-2.59864e-06
-4.38687e-05,-2.71818e-06
-4.38851e-05,-2.83779e-06
-4.39008e-05,-2.95749e-06
-4.39161e-05,-3.07727e-06
-4.39307e-05,-3.19713e-06
-4.39449e-05,-3.31706e-06
-4.39585e-05,-3.43705e-06
-4.39715e-05,-3.55712e-06
-4.3984e-05,-3.67725e-06
-4.39959e-05,-3.79745e-06
-4.40073e-05,-3.9177e-06
-4.40181e-05,-4.03801e-06
-4.40284e-05,-4.15838e-06
-4.40381e-05,-4.2788e-06
-4.40473e-05,-4.39926e-06
-4.40559e-05,-4.51977e-06
-4.40639e-05,-4.64033e-06
-4.40714e-05,-4.76092e-06
-4.40784e-05,-4.88156e-06
-4.40848e-05,-5.00222e-06
-4.40906e-05,-5.12292e-06
-4.40959e-05,-5.24365e-06
-4.41007e-05,-5.36441e-06
-4.41049e-05,-5.48519e-06
-4.41085e-05,-5.60599e-06
-4.41116e-05,-5.7268e-06
-4.41141e-05,-5.84764e-06
-4.4116e-05,-5.96848e-06
-4.41175e-05,-6.08934e-06
-4.41183e-05,-6.2102e-06
-4.41186e-05,-6.33107e-06
-4.41183e-05,-6.45194e-06
-4.41175e-05,-6.57281e-06
-4.41162e-05,-6.69367e-06
-4.41143e-05,-6.81453e-06
-4.41118e-05,-6.93537e-06
-4.41087e-05,-7.05621e-06
-4.41052e-05,-7.17703e-06
-4.4101e-05,-7.29783e-06
-4.40963e-05,-7.41861e-06
-4.40911e-05,-7.53937e-06
-4.40853e-05,-7.6601e-06
-4.40789e-05,-7.7808e-06
-4.4072e-05,-7.90147e-06
-4.40645e-05,-8.02211e-06
-4.40565e-05,-8.1427e-06
-4.40479e-05,-8.26326e-06
