t, ft, filtered ft Array, filtered ft Vector
2.17483,-0.352216,-0.372702,-0.372702
2.17882,-0.453089,-0.369111,-0.369111
2.18282,-0.334431,-0.360215,-0.360215
2.18681,-0.440327,-0.375726,-0.375726
2.19081,-0.36631,-0.37824,-0.37824
2.19481,-0.311313,-0.365889,-0.365889
2.1988,-0.372397,-0.343892,-0.343892
2.2028,-0.369812,-0.314015,-0.314015
2.20679,-0.366635,-0.27907,-0.27907
2.21079,-0.18045,-0.270304,-0.270304
2.21479,-0.231191,-0.232244,-0.232244
2.21878,-0.12169,-0.190056,-0.190056
2.22278,-0.249951,-0.154074,-0.154074
2.22677,-0.105979,-0.14604,-0.14604
2.23077,-0.0744979,-0.120264,-0.120264
2.23477,-0.114757,-0.105564,-0.105564
2.23876,-0.124214,-0.0697056,-0.0697056
2.24276,-0.0507583,-0.050903,-0.050903
2.24675,-0.0187928,-0.0373774,-0.0373774
2.25075,0.00105997,-0.0146832,-0.0146832
2.25475,0.0256384,0.0125714,0.0125714
2.25874,0.0201812,0.0327055,0.0327055
2.26274,0.0441032,0.0457279,0.0457279
2.26673,0.0665681,0.0759669,0.0759669
2.27073,0.0901804,0.0917295,0.0917295
2.27473,0.0723639,0.127758,0.127758
2.27872,0.212733,0.155525,0.155525
2.28272,0.135977,0.179171,0.179171
2.28671,0.272381,0.201036,0.201036
2.29071,0.23847,0.209167,0.209167
2.29471,0.232089,0.213622,0.213622
2.2987,0.243241,0.214327,0.214327
2.3027,0.129274,0.227825,0.227825
2.30669,0.243922,0.235402,0.235402
2.31069,0.140911,0.247823,0.247823
2.31469,0.36687,0.267391,0.267391
2.31868,0.291506,0.304974,0.304974
2.32268,0.319035,0.319538,0.319538
2.32667,0.380215,0.343224,0.343224
2.33067,0.392359,0.331027,0.331027
2.33467,0.345867,0.33257,0.33257
2.33866,0.306718,0.328737,0.328737
2.34266,0.281491,0.315185,0.315185
2.34665,0.302306,0.294234,0.294234
2.35065,0.292202,0.274256,0.274256
2.35465,0.285351,0.263389,0.263389
2.35864,0.245705,0.251692,0.251692
2.36264,0.206019,0.251532,0.251532
2.36663,0.23065,0.227593,0.227593
2.37063,0.199612,0.225634,0.225634
2.37463,0.301187,0.229,0.229
2.37862,0.124625,0.206124,0.206124
2.38262,0.271639,0.17338,0.17338
2.38661,0.269264,0.158702,0.158702
2.39061,0.0458882,0.145646,0.145646
2.39461,0.00144446,0.126409,0.126409
2.3986,0.0968693,0.108197,0.108197
2.4026,0.20979,0.0660115,0.0660115
2.40659,-0.0100314,0.0681706,0.0681706
2.41059,0.144152,0.0571098,0.0571098
2.41459,-0.0260326,0.0306251,0.0306251
2.41858,0.0610017,-0.0205497,-0.0205497
2.42258,-0.0759809,-0.0260806,-0.0260806
2.42657,-0.0885238,-0.0631131,-0.0631131
2.43057,-0.148433,-0.0749553,-0.0749553
2.43457,-0.0487475,-0.107702,-0.107702
2.43856,-0.115075,-0.12191,-0.12191
2.44256,-0.108928,-0.133826,-0.133826
2.44655,-0.168227,-0.146837,-0.146837
2.45055,-0.175435,-0.16469,-0.16469
2.45455,-0.171938,-0.181957,-0.181957
2.45854,-0.239506,-0.197343,-0.197343
2.46254,-0.173721,-0.221784,-0.221784
2.46653,-0.235943,-0.234178,-0.234178
2.47053,-0.21663,-0.231132,-0.231132
2.47453,-0.339317,-0.243265,-0.243265
2.47852,-0.262195,-0.2468,-0.2468
2.48252,-0.150615,-0.245797,-0.245797
2.48651,-0.324438,-0.243809,-0.243809
2.49051,-0.198462,-0.21938,-0.21938
2.49451,-0.22892,-0.224774,-0.224774
2.4985,-0.202713,-0.246833,-0.246833
2.5025,-0.168316,-0.243162,-0.243162
2.50649,-0.299954,-0.269673,-0.269673
2.51049,-0.305026,-0.266688,-0.266688
2.51449,-0.298741,-0.283319,-0.283319
2.51848,-0.38404,-0.288237,-0.288237
