t, ft, filtered ft Array, filtered ft Vector
2.12288,-0.211332,-0.210031,-0.210031
2.12687,-0.329802,-0.233637,-0.233637
2.13087,-0.306314,-0.244613,-0.244613
2.13487,-0.310235,-0.257322,-0.257322
2.13886,-0.265314,-0.259574,-0.259574
2.14286,-0.289662,-0.264339,-0.264339
2.14685,-0.305584,-0.273967,-0.273967
2.15085,-0.326048,-0.292224,-0.292224
2.15485,-0.336538,-0.289568,-0.289568
2.15884,-0.364672,-0.295266,-0.295266
2.16284,-0.36212,-0.298423,-0.298423
2.16683,-0.376976,-0.307066,-0.307066
2.17083,-0.252897,-0.296502,-0.296502
2.17483,-0.439077,-0.29157,-0.29157
2.17882,-0.257314,-0.289932,-0.289932
2.18282,-0.189839,-0.286538,-0.286538
2.18681,-0.158419,-0.284321,-0.284321
2.19081,-0.405452,-0.271539,-0.271539
2.19481,-0.205828,-0.258594,-0.258594
2.1988,-0.422559,-0.24412,-0.24412
2.2028,-0.150901,-0.228411,-0.228411
2.20679,-0.392836,-0.212404,-0.212404
2.21079,-0.107963,-0.19433,-0.19433
2.21479,-0.20274,-0.18091,-0.18091
2.21878,-0.275829,-0.156548,-0.156548
2.22278,-0.194041,-0.143423,-0.143423
2.22677,-0.243116,-0.132441,-0.132441
2.23077,-0.0371617,-0.122836,-0.122836
2.23477,-0.0541925,-0.0995303,-0.0995303
2.23876,-0.0325952,-0.0790975,-0.0790975
2.24276,-0.0347807,-0.0463284,-0.0463284
2.24675,-0.0259649,-0.0305419,-0.0305419
2.25075,0.00257886,-0.00603106,-0.00603106
2.25475,0.0289236,0.010859,0.010859
2.25874,0.0725304,0.0278293,0.0278293
2.26274,0.0182947,0.0594901,0.0594901
2.26673,0.0407915,0.0863156,0.0863156
2.27073,0.0432964,0.108368,0.108368
2.27473,0.0839581,0.121686,0.121686
2.27872,0.22326,0.143192,0.143192
2.28272,0.265592,0.15699,0.15699
2.28671,0.180615,0.168854,0.168854
2.29071,0.121892,0.184145,0.184145
2.29471,0.246729,0.1988,0.1988
2.2987,0.153636,0.211373,0.211373
2.3027,0.389046,0.223877,0.223877
2.30669,0.369295,0.236568,0.236568
2.31069,0.219988,0.248501,0.248501
2.31469,0.242516,0.260474,0.260474
2.31868,0.397431,0.271424,0.271424
2.32268,0.257155,0.272091,0.272091
2.32667,0.214379,0.272707,0.272707
2.33067,0.29514,0.275996,0.275996
2.33467,0.310338,0.276997,0.276997
2.33866,0.292946,0.271247,0.271247
2.34266,0.335116,0.272061,0.272061
2.34665,0.284804,0.263105,0.263105
2.35065,0.291396,0.252783,0.252783
2.35465,0.294725,0.247204,0.247204
2.35864,0.313914,0.234956,0.234956
2.36264,0.237252,0.22553,0.22553
2.36663,0.278538,0.209677,0.209677
2.37063,0.249676,0.203925,0.203925
2.37463,0.14291,0.185842,0.185842
2.37862,0.125979,0.164989,0.164989
2.38262,0.170742,0.147051,0.147051
2.38661,0.200962,0.125611,0.125611
2.39061,0.152528,0.106854,0.106854
2.39461,0.102832,0.08776,0.08776
2.3986,-0.0146918,0.0656186,0.0656186
2.4026,0.199484,0.0440691,0.0440691
2.40659,-0.0757553,0.0248265,0.0248265
2.41059,0.0935957,0.0032515,0.0032515
2.41459,-0.0846195,-0.017589,-0.017589
2.41858,-0.127573,-0.0345421,-0.0345421
2.42258,-0.0837338,-0.0524197,-0.0524197
2.42657,-0.115133,-0.071636,-0.071636
2.43057,-0.109088,-0.0941805,-0.0941805
2.43457,-0.109584,-0.111834,-0.111834
2.43856,-0.170246,-0.133753,-0.133753
2.44256,-0.138624,-0.145356,-0.145356
2.44655,-0.166843,-0.168487,-0.168487
2.45055,-0.174536,-0.173747,-0.173747
2.45455,-0.187975,-0.192082,-0.192082
2.45854,-0.213106,-0.197063,-0.197063
2.46254,-0.249449,-0.208511,-0.208511
2.46653,-0.232802,-0.22317,-0.22317
2.47053,-0.272471,-0.22585,-0.22585
2.47453,-0.218189,-0.229092,-0.229092
2.47852,-0.357484,-0.237148,-0.237148
2.48252,-0.258353,-0.245921,-0.245921
2.48651,-0.28626,-0.249505,-0.249505
2.49051,-0.186222,-0.256292,-0.256292
2.49451,-0.291424,-0.256993,-0.256993
2.4985,-0.18922,-0.256903,-0.256903
2.5025,-0.367983,-0.255043,-0.255043
2.50649,-0.391584,-0.251501,-0.251501
2.51049,-0.171402,-0.248204,-0.248204
2.51449,-0.177176,-0.241657,-0.241657
2.51848,-0.278753,-0.237947,-0.237947
2.52248,-0.354487,-0.223826,-0.223826
2.52647,-0.213885,-0.216754,-0.216754
2.53047,-0.309367,-0.206504,-0.206504
2.53447,-0.189264,-0.202133,-0.202133
2.53846,-0.186091,-0.190298,-0.190298
2.54246,-0.174035,-0.181978,-0.181978
2.54645,-0.175074,-0.162518,-0.162518
2.55045,-0.163558,-0.143299,-0.143299
2.55445,-0.134985,-0.127503,-0.127503
2.55844,-0.14027,-0.114638,-0.114638
2.56244,-0.060963,-0.0946613,-0.0946613
2.56643,-0.109823,-0.0752353,-0.0752353
2.57043,-0.0710258,-0.0629232,-0.0629232
2.57443,-0.0944262,-0.0452268,-0.0452268
2.57842,-0.0428859,-0.0260084,-0.0260084
2.58242,-0.0145082,-0.00779488,-0.00779488
2.58641,0.0406884,0.0124968,0.0124968
2.59041,0.0120033,0.034061,0.034061
2.59441,0.160332,0.0530101,0.0530101
2.5984,0.0929859,0.0696947,0.0696947
2.6024,0.14075,0.0870218,0.0870218
2.60639,0.0534595,0.101081,0.101081
2.61039,0.0446698,0.118436,0.118436
2.61439,0.0622567,0.134488,0.134488
2.61838,0.214323,0.151031,0.151031
2.62238,0.196393,0.1654,0.1654
2.62637,0.25209,0.176374,0.176374
2.63037,0.277773,0.190598,0.190598
2.63437,0.234375,0.202515,0.202515
2.63836,0.215391,0.206773,0.206773
2.64236,0.2236,0.209234,0.209234
2.64635,0.234284,0.212149,0.212149
2.65035,0.254638,0.222251,0.222251
2.65435,0.26605,0.227108,0.227108
2.65834,0.252985,0.231914,0.231914
2.66234,0.25886,0.236816,0.236816
2.66633,0.215957,0.236249,0.236249
2.67033,0.339389,0.235483,0.235483
2.67433,0.262249,0.235392,0.235392
2.67832,0.249745,0.227642,0.227642
2.68232,0.144681,0.22429,0.22429
2.68631,0.201951,0.214889,0.214889
2.69031,0.265613,0.206305,0.206305
2.69431,0.14666,0.195601,0.195601
2.6983,0.163188,0.187614,0.187614
2.7023,0.317256,0.177235,0.177235
2.70629,0.1845,0.166271,0.166271
2.71029,0.236004,0.155977,0.155977
2.71429,0.27585,0.139353,0.139353
2.71828,0.0716353,0.124933,0.124933
2.72228,0.144987,0.111685,0.111685
2.72627,0.0261762,0.102576,0.102576
2.73027,0.0540269,0.0854037,0.0854037
2.73427,0.0298532,0.0695846,0.0695846
2.73826,0.0983277,0.0606739,0.0606739
2.74226,0.0350256,0.0485679,0.0485679
2.74625,0.0286132,0.0285441,0.0285441
2.75025,-0.000206821,0.0144169,0.0144169
2.75425,-0.0097197,-0.000781656,-0.000781656
2.75824,-0.040563,-0.0242545,-0.0242545
2.76224,-0.0284744,-0.0335682,-0.0335682
2.76623,-0.0466012,-0.0558429,-0.0558429
2.77023,-0.158673,-0.066691,-0.066691
2.77423,-0.0665878,-0.0772884,-0.0772884
2.77822,-0.0404656,-0.0907569,-0.0907569
2.78222,-0.091038,-0.106149,-0.106149
2.78621,-0.103242,-0.119235,-0.119235
2.79021,-0.112173,-0.130293,-0.130293
2.79421,-0.0831653,-0.139859,-0.139859
2.7982,-0.217079,-0.150493,-0.150493
2.8022,-0.123953,-0.158705,-0.158705
2.80619,-0.322781,-0.16855,-0.16855
2.81019,-0.201634,-0.177237,-0.177237
2.81419,-0.168519,-0.180709,-0.180709
2.81818,-0.252986,-0.187666,-0.187666
2.82218,-0.224908,-0.194149,-0.194149
2.82617,-0.239787,-0.200006,-0.200006
2.83017,-0.203591,-0.206254,-0.206254
2.83417,-0.201106,-0.209055,-0.209055
2.83816,-0.233017,-0.216859,-0.216859
2.84216,-0.21303,-0.210235,-0.210235
2.84615,-0.235222,-0.207394,-0.207394
2.85015,-0.229022,-0.196192,-0.196192
2.85415,-0.231575,-0.187339,-0.187339
2.85814,-0.212683,-0.188162,-0.188162
2.86214,-0.176613,-0.183479,-0.183479
2.86613,-0.214028,-0.176316,-0.176316
2.87013,-0.234459,-0.163659,-0.163659
2.87413,-0.171004,-0.157966,-0.157966
2.87812,-0.247031,-0.148853,-0.148853
2.88212,-0.0779904,-0.139387,-0.139387
2.88611,-0.064276,-0.129091,-0.129091
2.89011,-0.0875586,-0.114396,-0.114396
2.89411,-0.0157043,-0.0993771,-0.0993771
2.8981,-0.185799,-0.0855521,-0.0855521
2.9021,-0.154654,-0.0693921,-0.0693921
2.90609,-0.0744919,-0.0551094,-0.0551094
2.91009,0.0260087,-0.0385095,-0.0385095
