ts, time, num_ions, ion Current, num_electrons, elec Current
Avg KE Electrons,0.14896, Avg KE Ions,0.00432603,,
32100,3.21e-06,180892,0.288392,180269,0.376511
32200,3.22e-06,180848,0.352479,180213,0.448609
32300,3.23e-06,180802,0.368501,180179,0.27237
32400,3.24e-06,180765,0.296403,180139,0.320435
32500,3.25e-06,180727,0.304414,180095,0.352479
32600,3.26e-06,180688,0.312424,180067,0.224305
32700,3.27e-06,180643,0.36049,180019,0.384522
32800,3.28e-06,180600,0.344468,179972,0.376511
32900,3.29e-06,180571,0.232316,179924,0.384522
33000,3.3e-06,180529,0.336457,179874,0.400544
33100,3.31e-06,180475,0.432588,179841,0.264359
33200,3.32e-06,180417,0.464631,179815,0.208283
33300,3.33e-06,180367,0.400544,179760,0.440599
33400,3.34e-06,180324,0.344468,179710,0.400544
33500,3.35e-06,180279,0.36049,179678,0.256348
33600,3.36e-06,180239,0.320435,179626,0.416566
33700,3.37e-06,180200,0.312424,179549,0.616838
33800,3.38e-06,180161,0.312424,179498,0.408555
33900,3.39e-06,180103,0.464631,179444,0.432588
34000,3.4e-06,180057,0.368501,179376,0.54474
34100,3.41e-06,180016,0.328446,179324,0.416566
34200,3.42e-06,179979,0.296403,179269,0.440599
34300,3.43e-06,179933,0.368501,179237,0.256348
34400,3.44e-06,179896,0.296403,179208,0.232316
34500,3.45e-06,179851,0.36049,179160,0.384522
34600,3.46e-06,179807,0.352479,179116,0.352479
34700,3.47e-06,179765,0.336457,179043,0.584794
34800,3.48e-06,179719,0.368501,179008,0.280381
34900,3.49e-06,179676,0.344468,178938,0.560762
35000,3.5e-06,179646,0.240326,178889,0.392533
35100,3.51e-06,179597,0.392533,178848,0.328446
35200,3.52e-06,179559,0.304414,178796,0.416566
35300,3.53e-06,179512,0.376511,178762,0.27237
35400,3.54e-06,179457,0.440599,178720,0.336457
35500,3.55e-06,179411,0.368501,178673,0.376511
35600,3.56e-06,179364,0.376511,178630,0.344468
35700,3.57e-06,179316,0.384522,178575,0.440599
35800,3.58e-06,179267,0.392533,178480,0.761034
35900,3.59e-06,179221,0.368501,178431,0.392533
36000,3.6e-06,179174,0.376511,178391,0.320435
36100,3.61e-06,179124,0.400544,178351,0.320435
36200,3.62e-06,179065,0.472642,178321,0.240326
36300,3.63e-06,179017,0.384522,178281,0.320435
36400,3.64e-06,178980,0.296403,178256,0.200272
36500,3.65e-06,178919,0.488664,178213,0.344468
36600,3.66e-06,178867,0.416566,178167,0.368501
